subject_id,session_id,signal,check_name,severity,detected,metric_value,threshold,message
S05,S05,SESSION,start_time_alignment,REVIEW,False,10.0,15.0,Sensor timing alignment is acceptable
S05,S05,SESSION,end_time_alignment,REVIEW,False,0.97,15.0,Sensor timing alignment is acceptable
S05,S05,SESSION,split_session,REVIEW,False,S05,Single recording,Session is stored as one recording
S06,S06,HR,sampling_rate,FAIL,False,1.0,1.0,Sampling rate validated
S06,S06,HR,invalid_values,FAIL,False,0,0,All sensor values are numeric
S06,S06,HR,flatline,REVIEW,False,6.0,60,No prolonged flatline detected
S06,S06,HR,repeated_recording,REVIEW,False,0.0,0,No large repeated recording detected
S06,S06,EDA,sampling_rate,FAIL,False,4.0,4.0,Sampling rate validated
S06,S06,EDA,invalid_values,FAIL,False,0,0,All sensor values are numeric
S06,S06,EDA,flatline,REVIEW,False,0.75,60,No prolonged flatline detected
S06,S06,EDA,repeated_recording,REVIEW,False,0.0,0,No large repeated recording detected
S06,S06,ACC,sampling_rate,FAIL,False,32.0,32.0,Sampling rate validated
S06,S06,ACC,invalid_values,FAIL,False,0,0,All sensor values are numeric
S06,S06,ACC,flatline,REVIEW,False,2.31,30,No prolonged flatline detected
S06,S06,ACC,repeated_recording,REVIEW,False,0.0,0,No large repeated recording detected
S06,S06,SESSION,missing_signals,FAIL,False,None,No missing signals,All required signals received
S06,S06,SESSION,complete_coverage,REVIEW,False,99.24,95.0,Complete signal coverage meets threshold
S06,S06,SESSION,start_time_alignment,REVIEW,False,10.0,15.0,Sensor timing alignment is acceptable
S06,S06,SESSION,end_time_alignment,REVIEW,False,0.97,15.0,Sensor timing alignment is acceptable
S06,S06,SESSION,split_session,REVIEW,False,S06,Single recording,Session is stored as one recording
S07,S07,HR,sampling_rate,FAIL,False,1.0,1.0,Sampling rate validated
S07,S07,HR,invalid_values,FAIL,False,0,0,All sensor values are numeric
S07,S07,HR,flatline,REVIEW,False,4.0,60,No prolonged flatline detected
S07,S07,HR,repeated_recording,REVIEW,False,0.0,0,No large repeated recording detected
S07,S07,EDA,sampling_rate,FAIL,False,4.0,4.0,Sampling rate validated
S07,S07,EDA,invalid_values,FAIL,False,0,0,All sensor values are numeric
S07,S07,EDA,flatline,REVIEW,False,1.25,60,No prolonged flatline detected
S07,S07,EDA,repeated_recording,REVIEW,False,0.0,0,No large repeated recording detected
S07,S07,ACC,sampling_rate,FAIL,False,32.0,32.0,Sampling rate validated
S07,S07,ACC,invalid_values,FAIL,False,0,0,All sensor values are numeric
S07,S07,ACC,flatline,REVIEW,False,1.28,30,No prolonged flatline detected
S07,S07,ACC,repeated_recording,REVIEW,False,0.0,0,No large repeated recording detected
S07,S07,SESSION,missing_signals,FAIL,False,None,No missing signals,All required signals received
S07,S07,SESSION,complete_coverage,REVIEW,False,99.23,95.0,Complete signal coverage meets threshold
S07,S07,SESSION,start_time_alignment,REVIEW,False,10.0,15.0,Sensor timing alignment is acceptable
S07,S07,SESSION,end_time_alignment,REVIEW,False,0.78,15.0,Sensor timing alignment is acceptable
S07,S07,SESSION,split_session,REVIEW,False,S07,Single recording,Session is stored as one recording
S08,S08,HR,sampling_rate,FAIL,False,1.0,1.0,Sampling rate validated
S08,S08,HR,invalid_values,FAIL,False,0,0,All sensor values are numeric
S08,S08,HR,flatline,REVIEW,False,7.0,60,No prolonged flatline detected
S08,S08,HR,repeated_recording,REVIEW,False,0.0,0,No large repeated recording detected
S08,S08,EDA,sampling_rate,FAIL,False,4.0,4.0,Sampling rate validated
S08,S08,EDA,invalid_values,FAIL,False,0,0,All sensor values are numeric
S08,S08,EDA,flatline,REVIEW,False,1.25,60,No prolonged flatline detected
S08,S08,EDA,repeated_recording,REVIEW,False,0.0,0,No large repeated recording detected
S08,S08,ACC,sampling_rate,FAIL,False,32.0,32.0,Sampling rate validated
S08,S08,ACC,invalid_values,FAIL,False,0,0,All sensor values are numeric
S08,S08,ACC,flatline,REVIEW,False,5.69,30,No prolonged flatline detected
S08,S08,ACC,repeated_recording,REVIEW,False,0.0,0,No large repeated recording detected
S08,S08,SESSION,missing_signals,FAIL,False,None,No missing signals,All required signals received
S08,S08,SESSION,complete_coverage,REVIEW,False,99.23,95.0,Complete signal coverage meets threshold
S08,S08,SESSION,start_time_alignment,REVIEW,False,10.0,15.0,Sensor timing alignment is acceptable
S08,S08,SESSION,end_time_alignment,REVIEW,False,0.97,15.0,Sensor timing alignment is acceptable
S08,S08,SESSION,split_session,REVIEW,False,S08,Single recording,Session is stored as one recording
S09,S09,HR,sampling_rate,FAIL,False,1.0,1.0,Sampling rate validated
S09,S09,HR,invalid_values,FAIL,False,0,0,All sensor values are numeric
S09,S09,HR,flatline,REVIEW,False,6.0,60,No prolonged flatline detected
S09,S09,HR,repeated_recording,REVIEW,False,0.0,0,No large repeated recording detected
S09,S09,EDA,sampling_rate,FAIL,False,4.0,4.0,Sampling rate validated
S09,S09,EDA,invalid_values,FAIL,False,0,0,All sensor values are numeric
S09,S09,EDA,flatline,REVIEW,False,1.5,60,No prolonged flatline detected
S09,S09,EDA,repeated_recording,REVIEW,False,0.0,0,No large repeated recording detected
S09,S09,ACC,sampling_rate,FAIL,False,32.0,32.0,Sampling rate validated
S09,S09,ACC,invalid_values,FAIL,False,0,0,All sensor values are numeric
S09,S09,ACC,flatline,REVIEW,False,3.22,30,No prolonged flatline detected
S09,S09,ACC,repeated_recording,REVIEW,False,0.0,0,No large repeated recording detected
S09,S09,SESSION,missing_signals,FAIL,False,None,No missing signals,All required signals received
S09,S09,SESSION,complete_coverage,REVIEW,False,99.24,95.0,Complete signal coverage meets threshold
S09,S09,SESSION,start_time_alignment,REVIEW,False,10.0,15.0,Sensor timing alignment is acceptable
S09,S09,SESSION,end_time_alignment,REVIEW,False,1.34,15.0,Sensor timing alignment is acceptable
S09,S09,SESSION,split_session,REVIEW,False,S09,Single recording,Session is stored as one recording
S10,S10,HR,sampling_rate,FAIL,False,1.0,1.0,Sampling rate validated
S10,S10,HR,invalid_values,FAIL,False,0,0,All sensor values are numeric
S10,S10,HR,flatline,REVIEW,False,12.0,60,No prolonged flatline detected
S10,S10,HR,repeated_recording,REVIEW,False,0.0,0,No large repeated recording detected
S10,S10,EDA,sampling_rate,FAIL,False,4.0,4.0,Sampling rate validated
S10,S10,EDA,invalid_values,FAIL,False,0,0,All sensor values are numeric
S10,S10,EDA,flatline,REVIEW,False,0.75,60,No prolonged flatline detected
S10,S10,EDA,repeated_recording,REVIEW,False,0.0,0,No large repeated recording detected
S10,S10,ACC,sampling_rate,FAIL,False,32.0,32.0,Sampling rate validated
S10,S10,ACC,invalid_values,FAIL,False,0,0,All sensor values are numeric
S10,S10,ACC,flatline,REVIEW,False,3.72,30,No prolonged flatline detected
S10,S10,ACC,repeated_recording,REVIEW,False,0.0,0,No large repeated recording detected
S10,S10,SESSION,missing_signals,FAIL,False,None,No missing signals,All required signals received
S10,S10,SESSION,complete_coverage,REVIEW,False,99.34,95.0,Complete signal coverage meets threshold
S10,S10,SESSION,start_time_alignment,REVIEW,False,10.0,15.0,Sensor timing alignment is acceptable
S10,S10,SESSION,end_time_alignment,REVIEW,False,0.97,15.0,Sensor timing alignment is acceptable
S10,S10,SESSION,split_session,REVIEW,False,S10,Single recording,Session is stored as one recording
S11,S11,HR,sampling_rate,FAIL,False,1.0,1.0,Sampling rate validated
S11,S11,HR,invalid_values,FAIL,False,0,0,All sensor values are numeric
S11,S11,HR,flatline,REVIEW,False,6.0,60,No prolonged flatline detected
S11,S11,HR,repeated_recording,REVIEW,False,0.0,0,No large repeated recording detected
S11,S11,EDA,sampling_rate,FAIL,False,4.0,4.0,Sampling rate validated
S11,S11,EDA,invalid_values,FAIL,False,0,0,All sensor values are numeric
S11,S11,EDA,flatline,REVIEW,False,1.0,60,No prolonged flatline detected
S11,S11,EDA,repeated_recording,REVIEW,False,0.0,0,No large repeated recording detected
S11,S11,ACC,sampling_rate,FAIL,False,32.0,32.0,Sampling rate validated
S11,S11,ACC,invalid_values,FAIL,False,0,0,All sensor values are numeric
S11,S11,ACC,flatline,REVIEW,False,5.12,30,No prolonged flatline detected
S11,S11,ACC,repeated_recording,REVIEW,False,0.0,0,No large repeated recording detected
S11,S11,SESSION,missing_signals,FAIL,False,None,No missing signals,All required signals received
S11,S11,SESSION,complete_coverage,REVIEW,False,99.22,95.0,Complete signal coverage meets threshold
S11,S11,SESSION,start_time_alignment,REVIEW,False,10.0,15.0,Sensor timing alignment is acceptable
S11,S11,SESSION,end_time_alignment,REVIEW,False,0.41,15.0,Sensor timing alignment is acceptable
S11,S11,SESSION,split_session,REVIEW,False,S11,Single recording,Session is stored as one recording
S12,S12,HR,sampling_rate,FAIL,False,1.0,1.0,Sampling rate validated
S12,S12,HR,invalid_values,FAIL,False,0,0,All sensor values are numeric
S12,S12,HR,flatline,REVIEW,False,8.0,60,No prolonged flatline detected
S12,S12,HR,repeated_recording,REVIEW,False,0.0,0,No large repeated recording detected
S12,S12,EDA,sampling_rate,FAIL,False,4.0,4.0,Sampling rate validated
S12,S12,EDA,invalid_values,FAIL,False,0,0,All sensor values are numeric
S12,S12,EDA,flatline,REVIEW,False,0.75,60,No prolonged flatline detected
S12,S12,EDA,repeated_recording,REVIEW,False,0.0,0,No large repeated recording detected
S12,S12,ACC,sampling_rate,FAIL,False,32.0,32.0,Sampling rate validated
S12,S12,ACC,invalid_values,FAIL,False,0,0,All sensor values are numeric
S12,S12,ACC,flatline,REVIEW,False,4.84,30,No prolonged flatline detected
S12,S12,ACC,repeated_recording,REVIEW,False,0.0,0,No large repeated recording detected
S12,S12,SESSION,missing_signals,FAIL,False,None,No missing signals,All required signals received
S12,S12,SESSION,complete_coverage,REVIEW,False,99.38,95.0,Complete signal coverage meets threshold
S12,S12,SESSION,start_time_alignment,REVIEW,False,10.0,15.0,Sensor timing alignment is acceptable
S12,S12,SESSION,end_time_alignment,REVIEW,False,0.28,15.0,Sensor timing alignment is acceptable
S12,S12,SESSION,split_session,REVIEW,False,S12,Single recording,Session is stored as one recording
S13,S13,HR,sampling_rate,FAIL,False,1.0,1.0,Sampling rate validated
S13,S13,HR,invalid_values,FAIL,False,0,0,All sensor values are numeric
S13,S13,HR,flatline,REVIEW,False,6.0,60,No prolonged flatline detected
S13,S13,HR,repeated_recording,REVIEW,False,0.0,0,No large repeated recording detected
S13,S13,EDA,sampling_rate,FAIL,False,4.0,4.0,Sampling rate validated
S13,S13,EDA,invalid_values,FAIL,False,0,0,All sensor values are numeric
S13,S13,EDA,flatline,REVIEW,False,1.0,60,No prolonged flatline detected
S13,S13,EDA,repeated_recording,REVIEW,False,0.0,0,No large repeated recording detected
S13,S13,ACC,sampling_rate,FAIL,False,32.0,32.0,Sampling rate validated
S13,S13,ACC,invalid_values,FAIL,False,0,0,All sensor values are numeric
S13,S13,ACC,flatline,REVIEW,False,2.44,30,No prolonged flatline detected
S13,S13,ACC,repeated_recording,REVIEW,False,0.0,0,No large repeated recording detected
S13,S13,SESSION,missing_signals,FAIL,False,None,No missing signals,All required signals received
S13,S13,SESSION,complete_coverage,REVIEW,False,99.32,95.0,Complete signal coverage meets threshold
S13,S13,SESSION,start_time_alignment,REVIEW,False,10.0,15.0,Sensor timing alignment is acceptable
S13,S13,SESSION,end_time_alignment,REVIEW,False,0.59,15.0,Sensor timing alignment is acceptable
S13,S13,SESSION,split_session,REVIEW,False,S13,Single recording,Session is stored as one recording
S14,S14,HR,sampling_rate,FAIL,False,1.0,1.0,Sampling rate validated
S14,S14,HR,invalid_values,FAIL,False,0,0,All sensor values are numeric
S14,S14,HR,flatline,REVIEW,False,9.0,60,No prolonged flatline detected
S14,S14,HR,repeated_recording,REVIEW,False,0.0,0,No large repeated recording detected
S14,S14,EDA,sampling_rate,FAIL,False,4.0,4.0,Sampling rate validated
S14,S14,EDA,invalid_values,FAIL,False,0,0,All sensor values are numeric
S14,S14,EDA,flatline,REVIEW,False,1.25,60,No prolonged flatline detected
S14,S14,EDA,repeated_recording,REVIEW,False,0.0,0,No large repeated recording detected
S14,S14,ACC,sampling_rate,FAIL,False,32.0,32.0,Sampling rate validated
S14,S14,ACC,invalid_values,FAIL,False,0,0,All sensor values are numeric
S14,S14,ACC,flatline,REVIEW,False,1.78,30,No prolonged flatline detected
S14,S14,ACC,repeated_recording,REVIEW,False,0.0,0,No large repeated recording detected
S14,S14,SESSION,missing_signals,FAIL,False,None,No missing signals,All required signals received
S14,S14,SESSION,complete_coverage,REVIEW,False,99.41,95.0,Complete signal coverage meets threshold
S14,S14,SESSION,start_time_alignment,REVIEW,False,10.0,15.0,Sensor timing alignment is acceptable
S14,S14,SESSION,end_time_alignment,REVIEW,False,0.75,15.0,Sensor timing alignment is acceptable
S14,S14,SESSION,split_session,REVIEW,False,S14,Single recording,Session is stored as one recording
S15,S15,HR,sampling_rate,FAIL,False,1.0,1.0,Sampling rate validated
S15,S15,HR,invalid_values,FAIL,False,0,0,All sensor values are numeric
S15,S15,HR,flatline,REVIEW,False,7.0,60,No prolonged flatline detected
S15,S15,HR,repeated_recording,REVIEW,False,0.0,0,No large repeated recording detected
S15,S15,EDA,sampling_rate,FAIL,False,4.0,4.0,Sampling rate validated
S15,S15,EDA,invalid_values,FAIL,False,0,0,All sensor values are numeric
S15,S15,EDA,flatline,REVIEW,False,1.25,60,No prolonged flatline detected
S15,S15,EDA,repeated_recording,REVIEW,False,0.0,0,No large repeated recording detected
S15,S15,ACC,sampling_rate,FAIL,False,32.0,32.0,Sampling rate validated
S15,S15,ACC,invalid_values,FAIL,False,0,0,All sensor values are numeric
S15,S15,ACC,flatline,REVIEW,False,4.59,30,No prolonged flatline detected
S15,S15,ACC,repeated_recording,REVIEW,False,0.0,0,No large repeated recording detected
S15,S15,SESSION,missing_signals,FAIL,False,None,No missing signals,All required signals received
S15,S15,SESSION,complete_coverage,REVIEW,False,99.39,95.0,Complete signal coverage meets threshold
S15,S15,SESSION,start_time_alignment,REVIEW,False,10.0,15.0,Sensor timing alignment is acceptable
S15,S15,SESSION,end_time_alignment,REVIEW,False,0.28,15.0,Sensor timing alignment is acceptable
S15,S15,SESSION,split_session,REVIEW,False,S15,Single recording,Session is stored as one recording
S16,S16,HR,sampling_rate,FAIL,False,1.0,1.0,Sampling rate validated
S16,S16,HR,invalid_values,FAIL,False,0,0,All sensor values are numeric
S16,S16,HR,flatline,REVIEW,False,4.0,60,No prolonged flatline detected
S16,S16,HR,repeated_recording,REVIEW,False,0.0,0,No large repeated recording detected
S16,S16,EDA,sampling_rate,FAIL,False,4.0,4.0,Sampling rate validated
S16,S16,EDA,invalid_values,FAIL,False,0,0,All sensor values are numeric
S16,S16,EDA,flatline,REVIEW,False,1.0,60,No prolonged flatline detected
S16,S16,EDA,repeated_recording,REVIEW,False,0.0,0,No large repeated recording detected
S16,S16,ACC,sampling_rate,FAIL,False,32.0,32.0,Sampling rate validated
S16,S16,ACC,invalid_values,FAIL,False,0,0,All sensor values are numeric
S16,S16,ACC,flatline,REVIEW,False,2.75,30,No prolonged flatline detected
S16,S16,ACC,repeated_recording,REVIEW,False,0.0,0,No large repeated recording detected
S16,S16,SESSION,missing_signals,FAIL,False,None,No missing signals,All required signals received
S16,S16,SESSION,complete_coverage,REVIEW,False,99.4,95.0,Complete signal coverage meets threshold
S16,S16,SESSION,start_time_alignment,REVIEW,False,10.0,15.0,Sensor timing alignment is acceptable
S16,S16,SESSION,end_time_alignment,REVIEW,False,0.28,15.0,Sensor timing alignment is acceptable
S16,S16,SESSION,split_session,REVIEW,False,S16,Single recording,Session is stored as one recording
S17,S17,HR,sampling_rate,FAIL,False,1.0,1.0,Sampling rate validated
S17,S17,HR,invalid_values,FAIL,False,0,0,All sensor values are numeric
S17,S17,HR,flatline,REVIEW,False,7.0,60,No prolonged flatline detected
S17,S17,HR,repeated_recording,REVIEW,False,0.0,0,No large repeated recording detected
S17,S17,EDA,sampling_rate,FAIL,False,4.0,4.0,Sampling rate validated
S17,S17,EDA,invalid_values,FAIL,False,0,0,All sensor values are numeric
S17,S17,EDA,flatline,REVIEW,False,0.75,60,No prolonged flatline detected
S17,S17,EDA,repeated_recording,REVIEW,False,0.0,0,No large repeated recording detected
S17,S17,ACC,sampling_rate,FAIL,False,32.0,32.0,Sampling rate validated
S17,S17,ACC,invalid_values,FAIL,False,0,0,All sensor values are numeric
S17,S17,ACC,flatline,REVIEW,False,1.91,30,No prolonged flatline detected
S17,S17,ACC,repeated_recording,REVIEW,False,0.0,0,No large repeated recording detected
S17,S17,SESSION,missing_signals,FAIL,False,None,No missing signals,All required signals received
S17,S17,SESSION,complete_coverage,REVIEW,False,99.38,95.0,Complete signal coverage meets threshold
S17,S17,SESSION,start_time_alignment,REVIEW,False,10.0,15.0,Sensor timing alignment is acceptable
S17,S17,SESSION,end_time_alignment,REVIEW,False,0.78,15.0,Sensor timing alignment is acceptable
S17,S17,SESSION,split_session,REVIEW,False,S17,Single recording,Session is stored as one recording
S18,S18,HR,sampling_rate,FAIL,False,1.0,1.0,Sampling rate validated
S18,S18,HR,invalid_values,FAIL,False,0,0,All sensor values are numeric
S18,S18,HR,flatline,REVIEW,False,5.0,60,No prolonged flatline detected
S18,S18,HR,repeated_recording,REVIEW,False,0.0,0,No large repeated recording detected
S18,S18,EDA,sampling_rate,FAIL,False,4.0,4.0,Sampling rate validated
S18,S18,EDA,invalid_values,FAIL,False,0,0,All sensor values are numeric
S18,S18,EDA,flatline,REVIEW,False,0.75,60,No prolonged flatline detected
S18,S18,EDA,repeated_recording,REVIEW,False,0.0,0,No large repeated recording detected
S18,S18,ACC,sampling_rate,FAIL,False,32.0,32.0,Sampling rate validated
S18,S18,ACC,invalid_values,FAIL,False,0,0,All sensor values are numeric
S18,S18,ACC,flatline,REVIEW,False,3.44,30,No prolonged flatline detected
S18,S18,ACC,repeated_recording,REVIEW,False,0.0,0,No large repeated recording detected
S18,S18,SESSION,missing_signals,FAIL,False,None,No missing signals,All required signals received
S18,S18,SESSION,complete_coverage,REVIEW,False,99.39,95.0,Complete signal coverage meets threshold
S18,S18,SESSION,start_time_alignment,REVIEW,False,10.0,15.0,Sensor timing alignment is acceptable
S18,S18,SESSION,end_time_alignment,REVIEW,False,0.84,15.0,Sensor timing alignment is acceptable
S18,S18,SESSION,split_session,REVIEW,False,S18,Single recording,Session is stored as one recording
f01,f01,HR,sampling_rate,FAIL,False,1.0,1.0,Sampling rate validated
f01,f01,HR,invalid_values,FAIL,False,0,0,All sensor values are numeric
f01,f01,HR,flatline,REVIEW,False,7.0,60,No prolonged flatline detected
f01,f01,HR,repeated_recording,REVIEW,False,0.0,0,No large repeated recording detected
f01,f01,EDA,sampling_rate,FAIL,False,4.0,4.0,Sampling rate validated
f01,f01,EDA,invalid_values,FAIL,False,0,0,All sensor values are numeric
f01,f01,EDA,flatline,REVIEW,False,2.0,60,No prolonged flatline detected
f01,f01,EDA,repeated_recording,REVIEW,False,0.0,0,No large repeated recording detected
f01,f01,ACC,sampling_rate,FAIL,False,32.0,32.0,Sampling rate validated
f01,f01,ACC,invalid_values,FAIL,False,0,0,All sensor values are numeric
f01,f01,ACC,flatline,REVIEW,False,13.31,30,No prolonged flatline detected
f01,f01,ACC,repeated_recording,REVIEW,False,0.0,0,No large repeated recording detected
f01,f01,SESSION,missing_signals,FAIL,False,None,No missing signals,All required signals received
f01,f01,SESSION,complete_coverage,REVIEW,False,99.66,95.0,Complete signal coverage meets threshold
f01,f01,SESSION,start_time_alignment,REVIEW,False,10.0,15.0,Sensor timing alignment is acceptable
f01,f01,SESSION,end_time_alignment,REVIEW,False,0.41,15.0,Sensor timing alignment is acceptable
f01,f01,SESSION,split_session,REVIEW,False,f01,Single recording,Session is stored as one recording
f02,f02,HR,sampling_rate,FAIL,False,1.0,1.0,Sampling rate validated
f02,f02,HR,invalid_values,FAIL,False,0,0,All sensor values are numeric
f02,f02,HR,flatline,REVIEW,False,6.0,60,No prolonged flatline detected
f02,f02,HR,repeated_recording,REVIEW,False,0.0,0,No large repeated recording detected
f02,f02,EDA,sampling_rate,FAIL,False,4.0,4.0,Sampling rate validated
f02,f02,EDA,invalid_values,FAIL,False,0,0,All sensor values are numeric
f02,f02,EDA,flatline,REVIEW,False,1.5,60,No prolonged flatline detected
f02,f02,EDA,repeated_recording,REVIEW,False,0.0,0,No large repeated recording detected
f02,f02,ACC,sampling_rate,FAIL,False,32.0,32.0,Sampling rate validated
f02,f02,ACC,invalid_values,FAIL,False,0,0,All sensor values are numeric
f02,f02,ACC,flatline,REVIEW,False,21.0,30,No prolonged flatline detected
f02,f02,ACC,repeated_recording,REVIEW,False,0.0,0,No large repeated recording detected
f02,f02,SESSION,missing_signals,FAIL,False,None,No missing signals,All required signals received
f02,f02,SESSION,complete_coverage,REVIEW,False,99.66,95.0,Complete signal coverage meets threshold
f02,f02,SESSION,start_time_alignment,REVIEW,False,10.0,15.0,Sensor timing alignment is acceptable
f02,f02,SESSION,end_time_alignment,REVIEW,False,0.75,15.0,Sensor timing alignment is acceptable
